start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, -1.57)
x: 0.0, y: 0.0
x: 0.3356225500810709, y: 0.13283647004136073
x: 0.4704673546345037, y: 0.5576388130811348
x: 0.6790400615535279, y: 1.21702379705621
x: 1.4454736082621662, y: 1.34251933755177
x: 1.8384931070530441, y: 1.2240615375124362
x: 2.688646638546747, y: 1.1621880511878286
x: 3.0388327253117926, y: 0.6288856569016055
x: 2.736003475622499, y: 0.05498208892475507
x: 2.0518435258623384, y: 0.050340400242106564
x: 1.6594730270768645, y: 0.08308113693882906
x: 1.581300671366868, y: -0.046229178602042086
x: 1.5527557812645905, y: -1.020668063443874
x: 1.545231248793862, y: -1.3059031113127542
x: 2.3698473662037243, y: -1.4253801546393126
x: 2.754303946094572, y: -1.4757797472651188
x: 2.996258347876827, y: -1.5075021867107516
x: 3.2382124678778816, y: -1.539226780330605
x: 3.89266654260865, y: -1.4725025961373723
x: 3.989185434147327, y: -1.2970970729311855
x: 4.01161598368556, y: -0.4689275327319178
x: 4.070420931841931, y: 0.011915035289340492
x: 3.5369233920538576, y: 0.029418318851686432
x: 3.023664084786887, y: 0.29359500625207574
x: 3.1625358678481956, y: 0.9527308630875183
x: 3.72031497059608, y: 1.379457715604327
x: 4.116899990812303, y: 1.2246144702548725
x: 5.001318045671613, y: 1.048870505725882
x: 5.526567987164346, y: 0.6186631632351576
x: 5.426425109748218, y: 0.11886228698809967
x: 5.4740647668688505, y: -0.25992718838762663
x: 5.303955521546404, y: -0.7995311433116595
x: 5.237230636099263, y: -0.8259205609664755
x: 5.400658514605501, y: -1.3082154723059285
x: 5.795147052689275, y: -1.4324727845656984
x: 5.882164078230313, y: -1.0033767518886998
x: 5.949436796155348, y: -0.6215111243974953
x: 5.991746364664817, y: -0.3812870958864652
x: 6.0208387788746185, y: -0.1646736520624691
x: 5.618390319144606, y: 0.5560123891035375
x: 5.840455410371924, y: 1.158379614643958
x: 5.952910490580976, y: 1.4291609662516158
x: 6.085874338693731, y: 2.3917695844265587
x: 6.089447193906425, y: 2.555255140654446
x: 6.019259816205948, y: 2.368185910983287
x: 5.586953098942912, y: 1.6966811918408329
x: 4.948949765736302, y: 1.808417944723306
