start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.16795126541015798, y: -0.31809018406283157
x: -0.0847222737307129, y: -0.5181131562017799
x: -0.11932748009708508, y: -0.9545944331621453
x: -0.10265618971447177, y: -1.058894025962564
x: 0.2377386896452727, y: -1.1125129281860557
x: 0.2669799035780781, y: -0.3357953013732616
x: 0.249968526920058, y: 0.04835694426970349
x: 0.11950345966340287, y: 0.7982115245562702
x: 0.8533308881132433, y: 1.0601776392485454
x: 1.4714452955828616, y: 0.9433192136954198
x: 1.5924289540129797, y: 0.2535814276840505
x: 1.446894153981894, y: -0.1264903268656094
x: 1.341191704514577, y: -1.0955997002366011
x: 1.3140892158082147, y: -1.3440572882587956
x: 1.2875217008904964, y: -1.5875699698840269
x: 1.2610431482928532, y: -1.8302584786706306
x: 1.3351983577804911, y: -2.481268145798197
x: 1.4287245509164586, y: -2.9795001149241953
x: 1.8233339298451539, y: -3.099607211245866
x: 2.034104840475293, y: -3.1622495532527095
x: 2.4733300948443997, y: -3.1793169869352336
x: 2.5884021809536213, y: -2.3838633785476913
x: 2.6532851223169223, y: -1.9227374717552503
x: 2.687286647882503, y: -1.6810928358577648
x: 2.721271936848914, y: -1.4395505558562527
x: 2.6341648287062727, y: -1.0231763556310762
x: 2.5361463295776643, y: -0.26353311762229287
x: 2.627689467247416, y: -0.06459903499089086
x: 1.9988687521912596, y: 0.01996254472949881
x: 1.6441663718556387, y: 0.3924557059939931
x: 1.715890049378747, y: 1.3435702244155805
x: 1.790118814262511, y: 2.3155970212448644
x: 1.8534134768903885, y: 3.1442154966939646
x: 1.786789695730355, y: 3.1971034145381334
x: 1.571656635106807, y: 3.036889475891461
x: 1.4819658455365008, y: 2.383786207063987
x: 1.3887108122576408, y: 1.704922475985118
x: 1.0808128304366666, y: 1.2099291602793332
x: 0.3993833201212538, y: 1.2614997039615894
x: 0.08118493345052642, y: 1.304439523529378
x: -0.580007560995759, y: 1.5318726078092015
x: -0.7687988387474995, y: 1.533098080085707
x: -1.6474936272185925, y: 1.3275191307504541
x: -2.207662048515833, y: 1.7155150362718987
x: -2.1332827813448083, y: 2.315500115725328
x: -2.063712303233821, y: 2.783079876754601
x: -2.037946226319899, y: 3.3679640227758587
x: -2.2494655488331654, y: 3.413440276982045
x: -2.4706862993541425, y: 3.1123430386396325
x: -2.6316505223358035, y: 2.864011225854751
x: -2.710989248514511, y: 1.968942804468921
x: -2.7943674589928578, y: 0.9937061231405099
x: -3.0384136296559254, y: 0.2290162107057874
x: -3.6667089098218875, y: -0.25719276175455974
x: -4.293055153711847, y: 0.042758583562292056
x: -4.290765211992311, y: 0.6392491028048255
x: -4.131588612306844, y: 1.3287841670560936
x: -4.061190970116185, y: 1.6408164476055798
x: -4.007486900621511, y: 1.8788587112367046
x: -3.9538072323859788, y: 2.1168002551131355
x: -3.900125444738905, y: 2.3547413215359994
x: -3.892225911294512, y: 2.9375978834154073
x: -3.9074086379690005, y: 3.790279049341954
x: -4.20068819115765, y: 3.9083047939517646
x: -5.002201519195243, y: 4.127829504782556
x: -5.237459623065534, y: 4.192260076118761
x: -5.96828319380387, y: 4.511417096545326
x: -5.778437705403239, y: 5.143159064509204
x: -5.093104298906852, y: 5.135395176819407
x: -4.686224494989789, y: 4.9382000348850195
x: -4.099797464177427, y: 4.761763173340158
x: -3.6779912074401344, y: 4.634828402001094
x: -3.5615383645586896, y: 5.204831396295041
x: -3.9466576079693, y: 5.453106261221332
x: -4.2806307140702105, y: 5.871313468530331
x: -4.701894742330148, y: 5.9786707917315836
x: -5.04885194162199, y: 5.835604454156951
x: -5.753696615042685, y: 5.603583098063767
x: -6.161082965260294, y: 5.744987095553818
x: -6.277826796438616, y: 5.408636409162024
x: -6.530039235321186, y: 4.462894609139581
x: -6.612220661023586, y: 4.154721868678685
x: -6.675075491998018, y: 3.9190378525218708
x: -6.738193062092217, y: 3.6823514886356725
x: -6.80104999204888, y: 3.4466680329615356
x: -6.61410297835669, y: 3.3782768151507785
x: -6.086184183765819, y: 3.1774633214485055
x: -5.904810071987144, y: 3.207024989996015
x: -5.162047270916813, y: 3.2015446116033868
x: -5.006194388517858, y: 2.934114649286569
x: -4.287519852978395, y: 2.6552667822209943
x: -4.14587288949038, y: 2.2771416966401024
x: -4.370889151933339, y: 1.584573802786404
x: -4.468847756138781, y: 1.3611867050578859
x: -4.462284457202396, y: 0.7834769029530209
x: -4.757723049989249, y: 0.23471451185405307
x: -5.317352112598142, y: 0.33900785687711427
x: -5.776593220657271, y: 0.8950359521396551
x: -5.566108751352549, y: 1.3923144581345852
x: -5.459849931612194, y: 1.7652421489868952
x: -6.001204735216888, y: 1.9805191993542155
x: -6.230610234044547, y: 2.066410796463388
x: -6.510696967683363, y: 2.1138674356959286
x: -6.872441352305794, y: 2.0260913493363337
x: -7.075203501957083, y: 1.0716005461494693
x: -7.277753295844654, y: 0.11801799940453704
x: -7.364526592792685, y: -0.29035637398378544
x: -6.7647957343287475, y: -0.49458540116923344
x: -6.252892132657639, y: -0.6587424250961846
x: -6.019634396735348, y: -0.7335427387335838
x: -5.914937696560223, y: -0.5401736432333392
x: -5.692918657157585, y: -0.07795761393376309
x: -5.3413846015017645, y: 0.2840150958963075
x: -4.694323287844325, y: 0.09835154835950852
x: -4.616522638765811, y: -0.5874356730056551
x: -4.852078606817953, y: -0.9780574456302781
x: -5.1752327926929516, y: -1.8977950597116477
x: -5.758854916351745, y: -2.1547812741547325
x: -6.0860858836062555, y: -1.9619475196764358
x: -6.6891972751611215, y: -1.9906654327311704
x: -6.985792877137187, y: -1.694692635207103
x: -6.984157814381486, y: -1.6466780025367003
x: -7.496342166658745, y: -1.8768205485368559
x: -7.5568286609249045, y: -2.1614887094188653
x: -6.96858927345849, y: -2.3271294671351668
x: -6.592067162043822, y: -2.4312277895344057
x: -6.355864912269516, y: -2.4965234657959074
x: -6.000136761426744, y: -2.3931069512226046
x: -5.253950516832051, y: -2.3217775592428915
x: -5.041702374418796, y: -2.5495688582793488
x: -4.3664007100372935, y: -2.6368430159553524
x: -3.7056544469254957, y: -2.815525436420865
x: -3.7010874248928993, y: -2.821426081002329
x: -4.167388132341564, y: -2.1722617621279867
x: -3.933128681233834, y: -1.5296364912739902
x: -3.713345699542715, y: -1.4052699082243592
x: -3.3398319947770183, y: -0.9094409108257586
x: -2.6381833646223125, y: -0.9111045116940745
x: -2.408836544549475, y: -1.2417920854379194
x: -2.2398258348292353, y: -1.0790434214952216
x: -1.641577540457368, y: -0.3720674460613779
x: -0.9603324556098675, y: -0.4573388258504737
x: -0.684257442943412, y: -0.8467641376280105
x: 0.07573679581154451, y: -1.457135060410273
x: 0.5128678406566948, y: -2.081326623226745
x: 0.10951158635639092, y: -2.638062492934386
x: -0.12893187588971927, y: -2.87123900390433
x: 0.08692180236322858, y: -3.1007845551268702
x: 0.30075409062140634, y: -3.011497879550112
x: 0.4950117487120992, y: -2.8638083461744324
x: 0.7600726907173591, y: -2.3491526357086125
x: 0.9027669541687078, y: -1.811962246652874
x: 1.4359184577590818, y: -1.5029853329479341
x: 2.15757351361283, y: -1.909112263643837
x: 2.287177352430861, y: -2.345171090813573
x: 1.8733777898123938, y: -2.928636896752818
x: 1.5598643698744061, y: -3.1797754777213436
x: 1.1879127718510585, y: -3.5690527648218415
x: 1.019405053389342, y: -3.7454127227172025
x: 0.8369554078019185, y: -3.970686361646196
x: 0.35879786741721625, y: -4.820222272145664
x: 0.058444448803135256, y: -5.353902327166661
x: 0.2017501798391066, y: -5.5645343127884
x: 0.7461637754969347, y: -6.08790271788577
x: 0.9128474754115043, y: -5.91677997971559
